model,cv_accuracy,test_accuracy,precision_macro,recall_macro,macro_f1,search_time_seconds,training_time_seconds,best_params,selected_by_cv
LogisticRegression,0.9978125,0.9982291666666666,0.998400981393238,0.9982291666666666,0.9982232543038556,16.2355854511261,8.721677541732788,"{""C"": 10.0}",True
RandomForestClassifier,0.996171875,0.9972916666666667,0.9974095161668167,0.9972916666666666,0.9972848600638476,225.32745718955994,87.25966119766235,"{""max_depth"": null, ""n_estimators"": 100}",False
XGBClassifier,0.996328125,0.9970833333333333,0.9971153055004272,0.9970833333333333,0.9970784434774936,1717.4085092544556,459.53616189956665,"{""max_depth"": 5, ""n_estimators"": 100}",False
