source_career,rank,recommended_destination,share_of_transitions,normalized_probability
Django Developer,3,Data Analyst,0.01,0.08333333333333333
Machine Learning Expert,1,Data Scientist,1.25,0.4045307443365696
Machine Learning Expert,2,Artificial Intelligence Engineer,0.72,0.23300970873786409
Machine Learning Expert,3,Machine Learning Expert,0.36,0.11650485436893204
Machine Learning Expert,4,Data Analyst,0.21,0.06796116504854369
Machine Learning Expert,5,Data Engineer,0.16,0.05177993527508091
Other,1,Other,0.29,0.29896907216494845
Other,2,Data Scientist,0.21,0.21649484536082475
Other,3,Data Engineer,0.13,0.13402061855670103
Other,4,Data Analyst,0.08,0.08247422680412371
Other,5,Artificial Intelligence Engineer,0.05,0.051546391752577324
Python Developer,1,Data Engineer,0.23,0.23
Python Developer,2,Data Scientist,0.18,0.18
Python Developer,3,Data Analyst,0.17,0.17
Python Developer,4,Artificial Intelligence Engineer,0.15,0.15
Python Developer,5,Other,0.11,0.11
Quantitative Analyst,1,Other,0.06,0.5
Quantitative Analyst,2,Data Analyst,0.02,0.16666666666666669
Quantitative Analyst,3,Data Scientist,0.02,0.16666666666666669
Quantitative Analyst,4,Vice President of Analytics,0.01,0.08333333333333334
Quantitative Analyst,5,Analytics Specialist,0.01,0.08333333333333334
Research Engineer,1,Data Scientist,0.06,0.4285714285714285
Research Engineer,2,Machine Learning Expert,0.04,0.2857142857142857
Research Engineer,3,Artificial Intelligence Engineer,0.02,0.14285714285714285
Research Engineer,4,Data Engineer,0.01,0.07142857142857142
Research Engineer,5,Applied Scientist,0.01,0.07142857142857142
Robotics Specialist,1,Other,0.12,0.6
Robotics Specialist,2,Artificial Intelligence Engineer,0.02,0.09999999999999999
Robotics Specialist,3,Data Analyst,0.02,0.09999999999999999
Robotics Specialist,4,Machine Learning Expert,0.01,0.049999999999999996
Robotics Specialist,5,Data Scientist,0.01,0.049999999999999996
