Country,Country_label,dst,Share_of_transitions,src
IND,India,Data Associate,0.05,Data Specialist
IND,India,Data Architect,0.03,Data Specialist
IND,India,Data Annotator,0.02,Data Specialist
IND,India,Data Analyst,0.52,Data Specialist
IND,India,Business Intelligence Specialist,0.01,Data Specialist
IND,India,Big Data Developer,0.01,Data Specialist
IND,India,Artificial Intelligence Engineer,0.04,Data Specialist
IND,India,Analytics Specialist,0.03,Data Specialist
IND,India,Analytics Manager,0.03,Data Specialist
IND,India,Analytics Consultant,0.02,Data Specialist
IND,India,Analytics Analyst,0.01,Data Specialist
IND,India,Other,0.11,Python Developer
IND,India,Machine Learning Expert,0.11,Python Developer
IND,India,Data Specialist,0.02,Python Developer
IND,India,Data Scientist,0.18,Python Developer
IND,India,Data Engineer,0.23,Python Developer
IND,India,Data Annotator,0.01,Python Developer
IND,India,Data Analyst,0.17,Python Developer
IND,India,Big Data Developer,0.01,Python Developer
IND,India,Artificial Intelligence Engineer,0.15,Python Developer
IND,India,Analytics Specialist,0.01,Python Developer
IND,India,Vice President of Analytics,0.03,Other
IND,India,Quantitative Analyst,0.03,Other
IND,India,Python Developer,0.01,Other
IND,India,Other,0.29,Other
IND,India,Manager of Artificial Intelligence,0.01,Other
IND,India,Machine Learning Expert,0.04,Other
IND,India,Director of Analytics,0.03,Other
IND,India,Data Specialist,0.02,Other
IND,India,Data Scientist,0.21,Other
IND,India,Data Engineer,0.13,Other
IND,India,Data Analyst,0.08,Other
IND,India,Big Data Developer,0.01,Other
IND,India,Artificial Intelligence Engineer,0.05,Other
IND,India,Analytics Specialist,0.01,Other
IND,India,Analytics Manager,0.02,Other
IND,India,Analytics Analyst,0,Other
IND,India,Other,0.01,Big Data Developer
IND,India,Machine Learning Expert,0.01,Big Data Developer
IND,India,Data Specialist,0.02,Big Data Developer
IND,India,Data Scientist,0.02,Big Data Developer
IND,India,Data Engineer,0.71,Big Data Developer
IND,India,Data Consultant,0.01,Big Data Developer
IND,India,Data Architect,0.01,Big Data Developer
